Organization/Person Name,Organization/Person Name URL,Categories,Number of Investors,Number of Funding Rounds,Funding Status,Last Funding Amount ($),Last Funding Type,Total Funding Amount ($),Total Equity Funding Amount ($)
goBalto,https://www.crunchbase.com/organization/gobalto,"Clinical Trials, SaaS, Information Technology and Software",7,5,Late Stage Venture,12111998,Series C,37611998,37611998
GigaGen,https://www.crunchbase.com/organization/gigagen,"Genetics, Medical, Therapeutics",1,7,,35000000,Undisclosed,37550000,35000000
Intradigm Corporation,https://www.crunchbase.com/organization/intradigm-corporation,"Health Care, Therapeutics",9,2,M&A,21400000,Series B,37400000,37400000
Icon Bioscience,https://www.crunchbase.com/organization/icon-bioscience,"Health Care, Pharmaceutical",,3,M&A,5316245,Convertible Note,37316245,32000000
Nora Therapeutics,https://www.crunchbase.com/organization/nora-therapeutics,"Health Care, Information Technology and Software",5,6,Seed,,Seed,36812000,36812000
Epiphany,https://www.crunchbase.com/organization/epiphany,"Health Diagnostics, Therapeutics",3,2,Early Stage Venture,36000000,Series A,36000000,36000000
Profusa,https://www.crunchbase.com/organization/profusa,"Health Care, Medical, Information Technology and Software, Wellness",2,5,Early Stage Venture,7500000,Grant,35918821,27218821
KineMed,https://www.crunchbase.com/organization/kinemed,"Health Care, Pharmaceutical",1,6,,2149235,Venture - Series Unknown,35886875,19847025
Attenua,https://www.crunchbase.com/organization/attenua,Pharmaceutical,4,1,Early Stage Venture,35000000,Series A,35000000,35000000
Delinia,https://www.crunchbase.com/organization/delinia,Biotechnology,2,1,M&A,35000000,Series A,35000000,35000000
Quantapore,https://www.crunchbase.com/organization/quantapore,"Health Care, Medical",1,3,Late Stage Venture,,Series C,35000000,35000000
Amphivena Therapeutics,https://www.crunchbase.com/organization/amphivena-therapeutics,"Health Care, Therapeutics",1,3,Early Stage Venture,7000000,Series B,35000000,35000000
Arete Therapeutics,https://www.crunchbase.com/organization/arete-therapeutics,"Health Care, Therapeutics",5,1,Early Stage Venture,35000000,Series A,35000000,35000000
Cell Design Labs,https://www.crunchbase.com/organization/cell-design-labs,"Health Care, Therapeutics",5,1,M&A,34400000,Venture - Series Unknown,34400000,34400000
Emerald Therapeutics,https://www.crunchbase.com/organization/emerald-therapeutics,"Medical, Therapeutics",7,3,Late Stage Venture,20500000,Series C,34000000,34000000
Zephyr Health,https://www.crunchbase.com/organization/zephyr-health,"Health Care, Life Science, Pharmaceutical",4,3,Late Stage Venture,17477051,Series C,33477051,33477051
Altheos,https://www.crunchbase.com/organization/altheos,"Clinical Trials, Health Care",5,2,Early Stage Venture,12500000,Series A,32500000,32500000
Ooda Health,https://www.crunchbase.com/organization/ooda-health,Health Care,3,1,,32500000,Venture - Series Unknown,32500000,32500000
Aerin Medical,https://www.crunchbase.com/organization/aerin-medical,"Health Care, Information Technology and Software",3,5,Late Stage Venture,15000000,Debt Financing,32474998,17474998
Oculeve,https://www.crunchbase.com/organization/oculeve,"Collaboration, Health Care",2,4,M&A,16649997,Venture - Series Unknown,32305473,31805473
Purigen Biosystems,https://www.crunchbase.com/organization/purigen-biosystems,"Health Care, Health Diagnostics",3,4,Early Stage Venture,18200000,Series A,32241856,31211856
NuGEN Technologies,https://www.crunchbase.com/organization/nugen-technologies,"Analytics, Genetics, Health Care",9,6,,6179995,Debt Financing,31479995,25300000
Gauss Surgical,https://www.crunchbase.com/organization/gauss-surgical,"Medical, Information Technology and Software, Information Technology and Software",12,6,Early Stage Venture,12600000,Series B,31452989,31452989
PellePharm,https://www.crunchbase.com/organization/pellepharm,"Information Technology and Software, Therapeutics",1,7,Early Stage Venture,20000000,Series B,31394823,31394823
Armetheon,https://www.crunchbase.com/organization/armetheon,"Biopharma, Pharmaceutical",6,2,Early Stage Venture,24300000,Series B,31300000,31300000
Neurona Therapeutics,https://www.crunchbase.com/organization/neuron-therapeutics,"Health Care, Therapeutics",2,2,Early Stage Venture,23500000,Series A,31144339,31144339
DiObex,https://www.crunchbase.com/organization/diobex,"Health Care, Medical",6,2,Early Stage Venture,24000000,Series B,31080000,31080000
Biospect,https://www.crunchbase.com/organization/biospect,"Health Care, Life Science",5,2,Early Stage Venture,27000000,Series B,31000000,31000000
Genteric,https://www.crunchbase.com/organization/genteric,"Medical, Therapeutics",5,2,Early Stage Venture,22000000,Series B,31000000,31000000
Tethys BioScience,https://www.crunchbase.com/organization/tethys-bioscience,"Health Care, Health Diagnostics",6,3,Late Stage Venture,25000000,Series D,30400000,30400000
BioImagene,https://www.crunchbase.com/organization/bioimagene,"Health Care, Health Diagnostics",7,2,M&A,26000000,Series D,30200000,30200000
QuantaLife,https://www.crunchbase.com/organization/quantalife,"Health Care, Health Diagnostics",2,5,M&A,3557182,Debt Financing,30112619,25155437
Trinity Biosystems,https://www.crunchbase.com/organization/trinity-biosystems,"Health Care, Therapeutics",7,3,Early Stage Venture,7500000,Debt Financing,30000000,22500000
Fabric Genomics (formerly Omicia),https://www.crunchbase.com/organization/omicia,"Big Data, Bioinformatics, Genetics, Health Care",10,3,Late Stage Venture,,Series C,29800000,29800000
"Two Pore Guys, Inc.",https://www.crunchbase.com/organization/two-pore-guys-inc,"Health Care, Medical, Information Technology and Software",1,2,Early Stage Venture,24500000,Series A,29683662,29683662
Mindstrong Health,https://www.crunchbase.com/organization/mindstrong-health,"Biopharma, Health Care",7,2,Early Stage Venture,15000000,Series B,29000000,29000000
BioVentrix,https://www.crunchbase.com/organization/bioventrix,"Health Care, Information Technology and Software",1,3,,14504967,Convertible Note,28864967,14000000
Carmot Therapeutics,https://www.crunchbase.com/organization/carmot-therapeutics,"Health Care, Therapeutics",3,4,Early Stage Venture,15000000,Series B,27846101,27846101
Transcriptic,https://www.crunchbase.com/organization/transcriptic,"Robotics, SaaS",19,7,Early Stage Venture,13400000,Series A,27770000,27770000
Amaranth Medical,https://www.crunchbase.com/organization/amaranth-medical,"Health Care, Medical",4,3,Early Stage Venture,20000000,Series B,27500000,27500000
Benchling,https://www.crunchbase.com/organization/benchling,"Health Care, Life Science",6,4,Early Stage Venture,14500000,Series B,27400000,27400000
ViOptix,https://www.crunchbase.com/organization/vioptix,"Health Care, Manufacturing",7,4,Late Stage Venture,2826676,Convertible Note,27226676,24400000
ACT Biotech,https://www.crunchbase.com/organization/act-biotech,"Health Care, Medical",1,6,,1000000,Debt Financing,26980000,24980000
Imago BioSciences,https://www.crunchbase.com/organization/imago-biosciences,"Life Science, Medical",4,1,Early Stage Venture,26500000,Series A,26500000,26500000
Neurotrack,https://www.crunchbase.com/organization/neurotrack-technologies,"Health Care, Health Diagnostics, Information Technology",12,6,Early Stage Venture,13700000,Series B,26090000,25290000
Metrika,https://www.crunchbase.com/organization/metrika-2,"Health Care, Medical",2,1,,26000000,Venture - Series Unknown,26000000,26000000
BioQ Pharma,https://www.crunchbase.com/organization/bioq-pharma,"Biopharma, Health Care, Pharmaceutical, Therapeutics",,2,,12210000,Venture - Series Unknown,25947000,12210000
Osprey Pharmaceuticals USA,https://www.crunchbase.com/organization/osprey-pharmaceuticals-usa,"Medical, Pharmaceutical",9,4,,5892744,Venture - Series Unknown,25892744,25892744
Trellis Bioscience,https://www.crunchbase.com/organization/trellis-bioscience,"Health Care, Therapeutics",4,4,,235000,Debt Financing,25376708,25141708
Biodesy,https://www.crunchbase.com/organization/biodesy,"Health Care, Medical",3,3,Early Stage Venture,10000000,Series B,25350009,25350009
"Paradromics, Inc.",https://www.crunchbase.com/organization/paradromics,Health Care,8,3,Seed,7000000,Seed,25300000,7000000
Refuge Biotechnologies,https://www.crunchbase.com/organization/refuge-biotechnologies,"Genetics, Health Care, Therapeutics",8,1,Early Stage Venture,25000000,Series B,25000000,25000000
GeneWEAVE,https://www.crunchbase.com/organization/geneweave-biosciences,"Clinical Trials, Health Diagnostics",3,3,M&A,11999998,Series B,24999998,24999998
Boreal Genomics,https://www.crunchbase.com/organization/boreal-genomics,"Clinical Trials, Health Diagnostics",3,3,Late Stage Venture,18000000,Series C,24599999,24599999
InSite Vision,https://www.crunchbase.com/organization/insite-vision,"Pharmaceutical, Therapeutics",,2,M&A,2381666,Debt Financing,24568730,22187064
Pathway Therapeutics,https://www.crunchbase.com/organization/pathway-therapeutics,"Information Technology and Software, Therapeutics",3,5,Early Stage Venture,400000,Debt Financing,24400000,24000000
Centrillion Biosciences,https://www.crunchbase.com/organization/centrillion-biosciences,"Bioinformatics, Genetics, Life Science",,4,Early Stage Venture,9000000,Series B,24300000,24300000
Quantum Biosystems,https://www.crunchbase.com/organization/quantum-biosystems,"Health Care, Information Technology and Software",5,2,Early Stage Venture,20500000,Series B,24300000,24300000
Heart Metabolics,https://www.crunchbase.com/organization/heart-metabolics,"Health Care, Therapeutics",5,2,Early Stage Venture,20000000,Series A,24000000,24000000
Crux Biomedical,https://www.crunchbase.com/organization/crux-biomedical,Biotechnology,4,3,M&A,12000000,Series C,23800000,23800000
Adynxx,https://www.crunchbase.com/organization/adynxx,"Biopharma, Pharmaceutical",2,4,Early Stage Venture,16000000,Series B,23540560,23540560
Applied StemCell,https://www.crunchbase.com/organization/applied-stemcell,"Genetics, Health Diagnostics, Medical",4,4,Late Stage Venture,19000000,Series D,23520763,23520763
Trigemina,https://www.crunchbase.com/organization/trigemina,Medical,1,6,Early Stage Venture,2400000,Series A,23104967,23104967
Fe3 Medical,https://www.crunchbase.com/organization/fe3-medical,"Health Care, Medical",4,5,Early Stage Venture,3500000,Series B,22709458,22709458
Fluxion Biosciences,https://www.crunchbase.com/organization/fluxion-biosciences,Biotechnology,5,4,,2000000,Venture - Series Unknown,22200000,21000000
iScience Surgical,https://www.crunchbase.com/organization/iscience-surgical,"Health Care, Life Science",6,2,Late Stage Venture,15000000,Series C,22000000,22000000
TesoRx Pharma,https://www.crunchbase.com/organization/tesorx-pharma,"Health Care, Therapeutics",,5,Early Stage Venture,10000000,Series B,21830589,21830589
Sierra Surgical,https://www.crunchbase.com/organization/sierra-surgical,"Health Care, Information Technology and Software",2,2,Early Stage Venture,14500000,Series B,21600000,21600000
C2 Therapeutics,https://www.crunchbase.com/organization/c2-therapeutics,"Health Care, Therapeutics",,5,,1930000,Debt Financing,21514582,17034582
Chronix Biomedical,https://www.crunchbase.com/organization/chronix-biomedical,"Health Diagnostics, Medical",3,9,,3306954,Venture - Series Unknown,21503463,21503463
Cala Health,https://www.crunchbase.com/organization/cala-health,"Medical, Neuroscience",7,2,Early Stage Venture,18000000,Series B,21300000,21300000
3Scan,https://www.crunchbase.com/organization/3scan,"Health Diagnostics, Medical",10,5,Early Stage Venture,14000000,Series B,21063012,20713012
Cofactor Genomics,https://www.crunchbase.com/organization/cofactor-genomics,"Clinical Trials, Genetics, Health Care, Health Diagnostics",20,4,Early Stage Venture,18000000,Series A,20950000,20950000
Notable Labs,https://www.crunchbase.com/organization/notable-labs-2,"Health Care, Test and Measurement",14,4,Early Stage Venture,14840492,Series A,20890492,20890492
Talima Therapeutics,https://www.crunchbase.com/organization/talima-therapeutics,"Pharmaceutical, Therapeutics",4,2,Early Stage Venture,19000000,Series B,20600000,20600000
Lifecode,https://www.crunchbase.com/organization/lifecode,"Genetics, Health Care, Health Diagnostics, Information Technology and Software, Therapeutics",4,2,Early Stage Venture,20500000,Series A,20500000,20500000
RadioRx,https://www.crunchbase.com/organization/radiorx,"Health Care, Medical",,1,Private Equity,20450011,Private Equity,20450011,20450011
Mendel Biotechnology,https://www.crunchbase.com/organization/mendel-biotechnology,"Agriculture, Chemical, Genetics",4,2,M&A,11846950,Series F,20234078,20234078
Omniox,https://www.crunchbase.com/organization/omniox,"Health Diagnostics, Therapeutics",2,5,Late Stage Venture,,Series D,20112524,14312524
Apexigen,https://www.crunchbase.com/organization/apexigen,"Biopharma, Health Care",5,1,Early Stage Venture,20000000,Series A,20000000,20000000
 Spruce Biosciences,https://www.crunchbase.com/organization/spruce-biosciences,Biotechnology,2,1,Early Stage Venture,20000000,Series A,20000000,20000000
iZumi Bio,https://www.crunchbase.com/organization/izumi-bio,"Health Diagnostics, Therapeutics",2,1,M&A,20000000,Series A,20000000,20000000
LEAD Therapeutics,https://www.crunchbase.com/organization/lead-therapeutics,"Health Care, Health Diagnostics",3,2,M&A,3000000,Debt Financing,20000000,17000000
VitaPath Genetics,https://www.crunchbase.com/organization/vitapath-genetics,"Genetics, Health Care, Medical",2,4,Late Stage Venture,5037974,Series C,19900478,19900478
Lyncean Technologies,https://www.crunchbase.com/organization/lyncean-technologies,"Advanced Materials, Health Care, Industrial Manufacturing, Life Science, Nanotechnology, Semiconductor, Therapeutics",4,6,Early Stage Venture,13750000,Series B,19755749,18585749
Mercator MedSystems,https://www.crunchbase.com/organization/mercator-medsystems,"Health Care, Medical, Information Technology and Software",3,3,Late Stage Venture,11000000,Series D,19750000,19750000
Rain Therapeutics,https://www.crunchbase.com/organization/rain-therapeutics,"Health Care, Therapeutics",3,2,Early Stage Venture,18400000,Series A,19400000,18400000
Velomedix,https://www.crunchbase.com/organization/velomedix,Health Care,3,3,Late Stage Venture,10200000,Series C,19000000,19000000
Aridis Pharmaceuticals,https://www.crunchbase.com/organization/aridis-pharmaceuticals,Biotechnology,,2,,15216241,Venture - Series Unknown,18716241,15216241
Allocade,https://www.crunchbase.com/organization/allocade,"Health Care, Hospital",1,5,Private Equity,3159045,Private Equity,18052263,18052263
StrataGent Life Sciences,https://www.crunchbase.com/organization/stratagent-life-sciences,"Health Care, Medical",3,2,M&A,16000000,Series B,18000000,16000000
Guava Technologies,https://www.crunchbase.com/organization/guava-technologies,"Health Diagnostics, Information Technology and Software",6,3,M&A,,Series E,17500000,17500000
Numerate,https://www.crunchbase.com/organization/numerate,"Life Science, Pharmaceutical",4,4,Late Stage Venture,8240487,Series C,17420487,17420487
Genelabs Technologies,https://www.crunchbase.com/organization/genelabs-technologies,"Biopharma, Therapeutics",5,2,M&A,9000000,Venture - Series Unknown,17300000,17300000
Retrotope,https://www.crunchbase.com/organization/retrotope,"Health Care, Medical",2,3,,2727000,Debt Financing,17259456,14532456
Pivot Bio,https://www.crunchbase.com/organization/pivot-bio,"Agriculture, AgTech",5,3,Early Stage Venture,15996489,Series A,16746489,16746489
Bolt Biotherapeutics,https://www.crunchbase.com/organization/bolt-biotherapeutics,"Medical, Pharmaceutical",,3,,6000000,Venture - Series Unknown,16599998,16599998
Cyterix Pharmaceuticals,https://www.crunchbase.com/organization/cyterix-pharmaceuticals,"Pharmaceutical, Therapeutics",2,2,,7290000,Venture - Series Unknown,16490000,16490000
nVision Medical,https://www.crunchbase.com/organization/nvision-medical,"Health Care, Medical",9,4,M&A,12000000,Series B,16405000,16405000
BAM Labs,https://www.crunchbase.com/organization/bam-labs,"Health Care, Information Technology and Software",,7,M&A,3500000,Venture - Series Unknown,16151237,15051237
NextBio,https://www.crunchbase.com/organization/nextbio,"Enterprise Software, Life Science",3,3,M&A,8000000,Series C,16100000,16100000
Kadmus Pharmaceuticals,https://www.crunchbase.com/organization/kadmus-pharmaceuticals,"Health Care, Pharmaceutical",7,2,Early Stage Venture,300000,Debt Financing,15600000,15300000
Ingenuity Systems,https://www.crunchbase.com/organization/ingenuity-systems,"Life Science, Pharmaceutical",4,1,M&A,15400000,Venture - Series Unknown,15400000,15400000
Allux Medical,https://www.crunchbase.com/organization/allux-medical,"Health Care, Information Technology and Software",4,5,Late Stage Venture,2000000,Series C,15300000,15300000
VM Discovery,https://www.crunchbase.com/organization/vm-discovery,"Medical, Product Design",2,4,Late Stage Venture,12600000,Series C,15120000,15120000
Kalidex Pharmaceuticals,https://www.crunchbase.com/organization/kalidex-pharmaceuticals,"Manufacturing, Pharmaceutical",6,3,,6500000,Venture - Series Unknown,15000626,14749998
Credence MedSystems,https://www.crunchbase.com/organization/credence-medsystems,"Biopharma, Pharmaceutical",,1,Early Stage Venture,15000000,Series A,15000000,15000000
PipelineRx,https://www.crunchbase.com/organization/pipelinerx,"Health Care, Hospital",3,3,,9100000,Venture - Series Unknown,14615000,14615000
DVS Sciences,https://www.crunchbase.com/organization/dvs-sciences,"Apps, Manufacturing",3,1,M&A,14600000,Series A,14600000,14600000
EchoPixel,https://www.crunchbase.com/organization/echopixel,"Health Care, Medical",6,6,Early Stage Venture,8500000,Series A,14349997,14349997
twoXAR,https://www.crunchbase.com/organization/twoxar-incorporated,"Artificial Intelligence, Big Data, Machine Learning, Pharmaceutical",5,3,Early Stage Venture,10000000,Series A,14300000,14300000
Primaeva Medical,https://www.crunchbase.com/organization/primaeva-medical,"Health Care, Therapeutics",3,3,M&A,6000000,Series C,14250000,14250000
NeuroVia,https://www.crunchbase.com/organization/neurovia,Biotechnology,4,1,Early Stage Venture,14000000,Series A,14000000,14000000
Dreamerz Foods,https://www.crunchbase.com/organization/dreamerz-foods,Dietary Supplements,7,2,Early Stage Venture,10000000,Series B,14000000,14000000
TheraVida,https://www.crunchbase.com/organization/theravida,"Information Technology and Software, Health Care",1,3,,1000000,Venture - Series Unknown,13504894,9904894
VIA Pharmaceuticals,https://www.crunchbase.com/organization/via-pharmaceuticals,"Health Care, Information Technology and Software",1,2,,3201397,Debt Financing,13201397,
Lygos,https://www.crunchbase.com/organization/lygos,"Advanced Materials, Clean Energy",10,2,Early Stage Venture,13000000,Series A,13000000,13000000
Insilixa,https://www.crunchbase.com/organization/insilixa,"Health Diagnostics, Medical, Test and Measurement",2,1,,13000000,Venture - Series Unknown,13000000,13000000
CellScape,https://www.crunchbase.com/organization/cellscape,"Genetics, Health Care, Health Diagnostics",3,6,Early Stage Venture,,Series B,12800000,12800000
Linkage Biosciences,https://www.crunchbase.com/organization/linkage-biosciences,"Genetics, Health Diagnostics",3,7,,2000000,Venture - Series Unknown,12643228,12643228
Tandem Technologies,https://www.crunchbase.com/organization/tandem-technologies,"Health Care, Health Diagnostics",,1,,12500000,Venture - Series Unknown,12500000,12500000
Xcell Biosciences,https://www.crunchbase.com/organization/xcell-biosciences,Health Diagnostics,3,2,Early Stage Venture,12000000,Series A,12100000,12000000
Napo Pharmaceuticals,https://www.crunchbase.com/organization/napo-pharmaceuticals,"Collaboration, Medical",1,6,M&A,2000000,Debt Financing,12081869,9944369
3T Biosciences,https://www.crunchbase.com/organization/3t-biosciences,"Biopharma, Health Care",7,2,Seed,12000000,Seed,12000000,12000000
Ablexis,https://www.crunchbase.com/organization/ablexis,"Health Care, Information Technology and Software",2,1,Early Stage Venture,12000000,Series A,12000000,12000000
Glycomine,https://www.crunchbase.com/organization/glycomine,Biotechnology,2,1,Early Stage Venture,12000000,Series A,12000000,12000000
Genten Therapeutics,https://www.crunchbase.com/organization/genten-therapeutics,Biotechnology,,1,,12000000,Venture - Series Unknown,12000000,12000000
Redwood Bioscience,https://www.crunchbase.com/organization/redwood-bioscience,"Chemical, Health Care",2,5,Early Stage Venture,2499999,Series B,11898299,11448299
Whi,https://www.crunchbase.com/organization/whi,"Health Care, Women's",,3,,375000,Debt Financing,11692850,
Focal Therapeutics,https://www.crunchbase.com/organization/focal-therapeutics,"Information Technology and Software, Therapeutics",2,2,,3826471,Venture - Series Unknown,11646471,11646471
CytoVale,https://www.crunchbase.com/organization/cytovale,"Analytics, Life Science",4,3,Early Stage Venture,7249989,Series B,11549989,11549989
Middle Peak Medical,https://www.crunchbase.com/organization/middle-peak-medical,"Health Diagnostics, Pharmaceutical",5,2,Early Stage Venture,3000000,Series A,11500000,11500000
"Perlara, PBC",https://www.crunchbase.com/organization/perlstein-lab,"Genetics, Medical, Pharmaceutical, Therapeutics",5,6,Early Stage Venture,4143002,Series A,11463002,11463002
Cambrian Genomics,https://www.crunchbase.com/organization/cambrian-genomics,"Genetics, Pharmaceutical",8,3,Early Stage Venture,11228000,Series A,11228000,11228000
Xradia,https://www.crunchbase.com/organization/xradia,"Health Care, Information Technology and Software",1,2,M&A,7000000,Series D,11000000,11000000
Ovalis,https://www.crunchbase.com/organization/ovalis,"Health Care, Information Technology and Software",3,4,Early Stage Venture,1361841,Series B,10973877,10973877
"BioTrace Medical, Inc.",https://www.crunchbase.com/organization/biotrace-medical,"Medical, Information Technology and Software",2,3,,5681262,Venture - Series Unknown,10874967,10874967
SuperGen,https://www.crunchbase.com/organization/supergen,"Health Care, Pharmaceutical",1,2,,3000000,Venture - Series Unknown,10600000,10600000
Genia Technologies,https://www.crunchbase.com/organization/genia-technologies,"Genetics, Health Care, Medical",,1,M&A,10438672,Debt Financing,10438672,
Lathrop PARC Redwood City,https://www.crunchbase.com/organization/lathrop-parc-redwood-city,"Health Care, Health Diagnostics",,2,,8727000,Debt Financing,10327000,1600000
TALON THERAPEUTICS,https://www.crunchbase.com/organization/talon-therapeutics,"Biopharma, Therapeutics",,1,M&A,10315800,Venture - Series Unknown,10315800,10315800
Bina Technologies,https://www.crunchbase.com/organization/bina-technologies,"Analytics, Big Data",9,6,M&A,1750000,Series B,10304545,9100000
Engine Biosciences,https://www.crunchbase.com/organization/engine-biosciences,"Health Care, Machine Learning",8,1,Seed,10000000,Seed,10000000,10000000
Inscopix,https://www.crunchbase.com/organization/inscopix,"Biopharma, Medical, Information Technology and Software",2,1,Early Stage Venture,10000000,Series A,10000000,10000000
"Signature Therapeutics, Inc.",https://www.crunchbase.com/organization/signature-therapeutics-inc,Biotechnology,1,1,M&A,10000000,Series A,10000000,10000000
BioSeek,https://www.crunchbase.com/organization/bioseek,Biotechnology,1,1,M&A,10000000,Series C,10000000,10000000
eBioinformatics,https://www.crunchbase.com/organization/ebioinformatics,"Bioinformatics, Information Services",6,1,,10000000,Venture - Series Unknown,10000000,10000000
Bayhill Therapeutics,https://www.crunchbase.com/organization/bayhill-therapeutics,"Biopharma, Therapeutics",,1,,9999999,Venture - Series Unknown,9999999,9999999
4D Molecular Therapeutics,https://www.crunchbase.com/organization/4d-molecular-therapeutics,Genetics,1,2,,3000000,Venture - Series Unknown,9999995,9999995
Riffyn,https://www.crunchbase.com/organization/riffyn,"Pharmaceutical, Information Technology and Software",5,3,Early Stage Venture,4900000,Series A,9900000,9900000
ReCyte Therapeutics,https://www.crunchbase.com/organization/recyte-therapeutics,"Medical, Pharmaceutical",,3,,3600000,Venture - Series Unknown,9900000,9900000
Grower's Secret,https://www.crunchbase.com/organization/growers-secret,Hydroponics,,3,Early Stage Venture,8000000,Series A,9587500,9587500
Biozone Pharmaceuticals,https://www.crunchbase.com/organization/biozone-pharmaceuticals,"Manufacturing, Pharmaceutical",1,4,,2750000,Venture - Series Unknown,9300000,4750000
Sanovas,https://www.crunchbase.com/organization/sanovas,Health Care,,4,,285699,Venture - Series Unknown,9165521,6734521
Akoya Biosciences,https://www.crunchbase.com/organization/akoya-biosciences,Biotechnology,,1,,9000000,Venture - Series Unknown,9000000,9000000
IncellDx,https://www.crunchbase.com/organization/incelldx,Health Diagnostics,,2,,5999998,Venture - Series Unknown,8999998,8999998
Toma Biosciences,https://www.crunchbase.com/organization/toma-biosciences,Genetics,,2,,5088920,Venture - Series Unknown,8686418,8686418
Revitope Oncology,https://www.crunchbase.com/organization/revitope-oncology,"Medical, Therapeutics",,1,,8500000,Venture - Series Unknown,8500000,8500000
Corepair,https://www.crunchbase.com/organization/corepair,"Health Care, Medical",1,4,Late Stage Venture,4490000,Series C,8460000,8460000
CRS Bio,https://www.crunchbase.com/organization/crs-bio,Biotechnology,,1,,8400000,Venture - Series Unknown,8400000,8400000
BioCision,https://www.crunchbase.com/organization/biocision,"Biopharma, Life Science",2,2,,5847600,Venture - Series Unknown,8347600,8347600
Phloronol,https://www.crunchbase.com/organization/phloronol,"Medical, Information Technology and Software",,2,,100000,Venture - Series Unknown,8260000,8260000
LevitasBio,https://www.crunchbase.com/organization/levitasbio,Biotechnology,,1,,8000001,Venture - Series Unknown,8000001,8000001
Trace Genomics,https://www.crunchbase.com/organization/trace-genomics,"Agriculture, Farming, Genetics",6,2,Seed,4000000,Seed,8000000,8000000
SafeTraces,https://www.crunchbase.com/organization/safetraces,"Food and Beverage, Food Processing, Organic Food",6,2,Early Stage Venture,6500000,Series A,8000000,8000000
Paragon Genomics,https://www.crunchbase.com/organization/paragon-genomics,Biotechnology,6,1,Early Stage Venture,8000000,Series A,8000000,8000000
Cartilix,https://www.crunchbase.com/organization/cartilix,Biotechnology,1,2,M&A,6350000,Series B,7875000,7875000
HX Diagnostics,https://www.crunchbase.com/organization/hx-diagnostics,Health Diagnostics,2,2,Early Stage Venture,4700000,Series B,7800000,7800000
Ukko,https://www.crunchbase.com/organization/ukko,Biotechnology,,1,,7699997,Venture - Series Unknown,7699997,7699997
Xip,https://www.crunchbase.com/organization/xip,"Health Care, Health Diagnostics, Medical, Information Technology and Software",,6,Early Stage Venture,3000000,Grant,7675000,3000000
Eve Biomedical,https://www.crunchbase.com/organization/eve-biomedical,Genetics,1,2,Early Stage Venture,6002724,Series B,7669424,7669424
Globavir,https://www.crunchbase.com/organization/globavir,"Health Diagnostics, Therapeutics",3,3,Private Equity,1500000,Private Equity,7500000,7500000
Kaiser Permanente,https://www.crunchbase.com/organization/kaiser-permanente,"Health Care, Health Diagnostics",,1,,7400000,Grant,7400000,
Bell Biosystems,https://www.crunchbase.com/organization/bell-biosystems,"Clinical Trials, Therapeutics",3,3,Early Stage Venture,3810250,Series A,7368480,7368480
O2 Medtech,https://www.crunchbase.com/organization/o2-medtech,"Health Care, Information Technology and Software",,3,,3609014,Venture - Series Unknown,7144321,5609014
EpiBiome,https://www.crunchbase.com/organization/epibiome,Health Care,7,3,Early Stage Venture,1000000,Debt Financing,7100000,6000000
Nirmidas Biotech,https://www.crunchbase.com/organization/nirmidas-biotech,Health Diagnostics,1,2,Early Stage Venture,5000000,Series A,7000000,7000000
Maya Medical,https://www.crunchbase.com/organization/maya-medical,Medical,,4,M&A,1040000,Debt Financing,6920582,2370582
Embrace Scar Therapy,https://www.crunchbase.com/organization/neodyne-biosciences,"Life Science, Medical",1,2,,5764177,Venture - Series Unknown,6764177,6764177
Nexis Vision,https://www.crunchbase.com/organization/nexis-vision,"Health Care, Medical",,2,,750000,Debt Financing,6750000,
Thrive Agrobiotics,https://www.crunchbase.com/organization/thrive-agrobiotics,"Life Science, Therapeutics",,1,,6666667,Venture - Series Unknown,6666667,6666667
Circle Pharma,https://www.crunchbase.com/organization/circle-pharma,"Clinical Trials, Therapeutics",7,3,Early Stage Venture,2000000,Series A,6500000,6500000
Microvi Biotechnologies,https://www.crunchbase.com/organization/microvi-biotechnologies,"GreenTech, Water",1,4,Early Stage Venture,,Series B,6500000,5000000
SyntheX,https://www.crunchbase.com/organization/synthex,"Life Science, Pharmaceutical, Therapeutics",5,3,Seed,6150000,Seed,6400000,6150000
ImmuMetrix,https://www.crunchbase.com/organization/immumetrix,"Information Technology and Software, Health Diagnostics",,1,M&A,6384353,Private Equity,6384353,6384353
Santa Maria Biotherapeutics,https://www.crunchbase.com/organization/santa-maria-biotherapeutics,"Health Care, Therapeutics",,1,,6311156,Venture - Series Unknown,6311156,6311156
Odyssey Thera,https://www.crunchbase.com/organization/odyssey-thera,Biotechnology,3,2,,2800000,Venture - Series Unknown,6300000,6300000
Steep Hill Labs,https://www.crunchbase.com/organization/steep-hill-cannabis-analysis-laboratory,"Medical, Recreation",,3,,2000000,Venture - Series Unknown,6250050,3000050
LiveLeaf,https://www.crunchbase.com/organization/liveleaf,"Biopharma, Medical",,2,,2250000,Debt Financing,6100000,3850000
Maverix Biomics,https://www.crunchbase.com/organization/maverix-biomics,Biotechnology,3,1,Early Stage Venture,6000000,Series A,6000000,6000000
Semnur Pharmaceuticals,https://www.crunchbase.com/organization/semnur-pharmaceuticals,"Life Science, Pharmaceutical",3,1,M&A,6000000,Venture - Series Unknown,6000000,6000000
InCarda Therapeutics,https://www.crunchbase.com/organization/incarda-therapeutics,"Health Diagnostics, Therapeutics",2,4,,,Venture - Series Unknown,5876977,5566977
