Organization/Person Name,Organization/Person Name URL,Categories,Number of Investors,Number of Funding Rounds,Funding Status,Last Funding Amount ($),Last Funding Type,Total Funding Amount ($),Total Equity Funding Amount ($)
BioClin Therapeutics,https://www.crunchbase.com/organization/bioclin-therapeutics,"Information Technology and Software, Medical",9,5,Early Stage Venture,20000000,Series B,89000000,89000000
Crown Bioscience,https://www.crunchbase.com/organization/crown-bioscience,"Health Care, Medical",8,7,M&A,26600000,Series D,88650000,88650000
Raven Biotechnologies,https://www.crunchbase.com/organization/raven-biotechnologies,"Medical, Therapeutics",15,2,M&A,48300000,Series D,88300000,88300000
IntegenX,https://www.crunchbase.com/organization/integenx,"Analytics, Health Diagnostics",12,5,M&A,10000000,Debt Financing,88200000,78200000
Afferent Pharmaceuticals,https://www.crunchbase.com/organization/afferent-pharmaceuticals,"Biopharma, Pharmaceutical",9,5,M&A,55000000,Series C,88150000,88000000
Calysta Energy,https://www.crunchbase.com/organization/calysta-energy,"Energy, Oil and Gas",8,5,Late Stage Venture,40000000,Series D,88000000,88000000
AngioScore,https://www.crunchbase.com/organization/angioscore,"Health Care, Medical",8,4,M&A,12000000,Venture - Series Unknown,87000000,87000000
VitalConnect,https://www.crunchbase.com/organization/vital-connect,"Health Care, Information Technology and Software",5,4,Late Stage Venture,20000000,Debt Financing,86740726,66740726
Berkeley Lights,https://www.crunchbase.com/organization/berkeley-lights,"Biopharma, Health Care",3,2,,29717217,Venture - Series Unknown,86217217,86217217
Acclarent,https://www.crunchbase.com/organization/acclarent,"Health Care, Medical",5,3,M&A,26000000,Venture - Series Unknown,86000000,86000000
Spinal Kinetics,https://www.crunchbase.com/organization/spinal-kinetics,"Health Care, Information Technology and Software",7,4,M&A,34000000,Venture - Series Unknown,85300000,80000000
CellBiosciences,https://www.crunchbase.com/organization/cell-biosciences,"Health Care, Life Science",11,6,M&A,20000000,Series F,85249999,85249999
OptiMedica,https://www.crunchbase.com/organization/optimedica,"Health Care, Information Technology and Software",4,5,M&A,35000000,Series E,85035886,85035886
Genapsys Inc.,https://www.crunchbase.com/organization/genapsys,"Genetics, Health Diagnostics",3,6,Late Stage Venture,32500000,Series C,84000000,78500000
Eureka Therapeutics,https://www.crunchbase.com/organization/eureka-therapeutics,"Life Science, Therapeutics",7,5,Late Stage Venture,60000000,Series D,83901450,83901450
